37	13	U	-3.403139979362691E7	200
transitionprobs	10	27	0.0
transitionprobs	10	28	0.0
transitionprobs	10	29	0.0
transitionprobs	10	30	0.0
transitionprobs	10	31	0.0
transitionprobs	10	32	0.0
transitionprobs	10	33	0.0
transitionprobs	10	34	0.0
transitionprobs	10	35	0.0
transitionprobs	10	36	0.0
transitionprobs	10	37	0.001430092140513369
transitionprobs	11	1	0.0
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0
transitionprobs	11	5	0.0
transitionprobs	11	6	0.0
transitionprobs	11	7	0.0
transitionprobs	11	8	0.0
transitionprobs	11	9	0.0
transitionprobs	11	10	0.008841734664897002
transitionprobs	11	11	0.9741773440169658
transitionprobs	11	12	0.01410165844316601
transitionprobs	11	13	0.0
transitionprobs	11	14	0.0
transitionprobs	11	15	0.0
transitionprobs	11	16	0.0
transitionprobs	11	17	0.0
transitionprobs	11	18	0.0
transitionprobs	11	19	0.0
transitionprobs	11	20	0.0
transitionprobs	11	21	0.0
transitionprobs	11	22	0.0
transitionprobs	11	23	0.0
transitionprobs	11	24	0.0
transitionprobs	11	25	0.0
transitionprobs	11	26	0.0
transitionprobs	11	27	0.0
transitionprobs	11	28	0.0
transitionprobs	11	29	0.0
transitionprobs	11	30	0.0
transitionprobs	11	31	0.0
transitionprobs	11	32	0.0
transitionprobs	11	33	0.0
transitionprobs	11	34	0.0
transitionprobs	11	35	0.0
transitionprobs	11	36	0.0
transitionprobs	11	37	0.0028792628749711164
transitionprobs	12	1	0.0
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0
transitionprobs	12	7	0.0
transitionprobs	12	8	0.0
transitionprobs	12	9	0.0
transitionprobs	12	10	0.018274531985267142
transitionprobs	12	11	0.02940745305225855
transitionprobs	12	12	0.9521721373193105
transitionprobs	12	13	0.0
transitionprobs	12	14	0.0
transitionprobs	12	15	0.0
transitionprobs	12	16	0.0
transitionprobs	12	17	0.0
transitionprobs	12	18	0.0
transitionprobs	12	19	0.0
transitionprobs	12	20	0.0
transitionprobs	12	21	0.0
transitionprobs	12	22	0.0
transitionprobs	12	23	0.0
transitionprobs	12	24	0.0
transitionprobs	12	25	0.0
